Date,Inflation_Observed,Inflation_Real,Inflation_Nominal,Key_Rate_Expected,Key_Rate_Real,Disposable_Income_YoY,Disposable_Income_Prev,Avg_Salary,Population,Unemployment_Rate
2018-01-01,0.31,0.31,0.31,7.25,7.75,101.3,77.4,39000.0,146.9,5.2
2018-02-01,0.21,0.21,0.21,7.5,7.5,101.3,77.4,40400.0,146.8,5.0
2018-03-01,0.29,0.29,0.29,7.25,7.25,101.3,77.4,42400.0,146.8,5.0
2018-04-01,0.38,0.38,0.38,7.25,7.25,100.7,110.5,43400.0,146.8,4.9
2018-05-01,0.38,0.38,0.38,7.25,7.25,100.7,110.5,44100.0,146.8,4.7
2018-06-01,0.49,0.49,0.49,7.25,7.25,100.7,110.5,45800.0,146.8,4.7
2018-07-01,0.27,0.27,0.27,7.25,7.25,100.8,99.6,42400.0,146.8,4.7
2018-08-01,0.01,0.01,0.01,7.5,7.25,100.8,99.6,41400.0,146.8,4.6
2018-09-01,0.16,0.16,0.16,7.5,7.5,100.8,99.6,41800.0,146.8,4.5
2018-10-01,0.35,0.35,0.35,7.5,7.5,99.9,117.2,42300.0,146.8,4.7
2018-11-01,0.5,0.5,0.5,7.5,7.5,99.9,117.2,42600.0,146.8,4.8
2018-12-01,0.84,0.84,0.84,7.75,7.75,99.9,117.2,55600.0,146.8,4.8
2019-01-01,1.01,1.01,1.01,7.75,7.75,98.1,76.0,42300.0,146.7,4.9
2019-02-01,0.44,0.44,0.44,7.75,7.75,98.1,76.0,43100.0,146.7,4.9
2019-03-01,0.32,0.32,0.32,7.75,7.75,98.1,76.0,46300.0,146.7,4.7
2019-04-01,0.29,0.29,0.29,7.5,7.75,100.8,113.7,48000.0,146.7,4.7
2019-05-01,0.34,0.34,0.34,7.25,7.75,100.8,113.7,47900.0,146.7,4.5
2019-06-01,0.04,0.04,0.04,7.25,7.5,100.8,113.7,49300.0,146.7,4.4
2019-07-01,0.2,0.2,0.2,7.25,7.25,102.6,101.4,46500.0,146.7,4.5
2019-08-01,-0.24,-0.24,-0.24,7.25,7.25,102.6,101.4,45000.0,146.7,4.3
2019-09-01,-0.16,-0.16,-0.16,7.0,7.0,102.6,101.4,45500.0,146.7,4.5
2019-10-01,0.13,0.13,0.13,7.0,6.5,103.0,117.7,46500.0,146.7,4.6
2019-11-01,0.28,0.28,0.28,6.5,6.5,103.0,117.7,46300.0,146.7,4.6
2019-12-01,0.36,0.36,0.36,6.25,6.25,103.0,117.7,62200.0,146.7,4.6
2020-01-01,0.4,0.4,0.4,6.25,6.25,102.6,75.7,46700.0,146.7,4.7
2020-02-01,0.33,0.33,0.33,6.0,6.0,102.6,75.7,47300.0,146.7,4.6
2020-03-01,0.55,0.55,0.55,6.0,6.0,102.6,75.7,50900.0,146.7,4.7
2020-04-01,0.83,0.83,0.83,5.5,5.5,93.9,104.0,49300.0,146.6,5.8
2020-05-01,0.27,0.27,0.27,5.5,5.5,93.9,104.0,50700.0,146.6,6.1
2020-06-01,0.22,0.22,0.22,4.5,4.5,93.9,104.0,52100.0,146.6,6.2
2020-07-01,0.35,0.35,0.35,4.25,4.25,96.1,103.7,50100.0,146.6,6.3
2020-08-01,-0.04,-0.04,-0.04,4.25,4.25,96.1,103.7,47600.0,146.5,6.4
2020-09-01,-0.07,-0.07,-0.07,4.25,4.25,96.1,103.7,49300.0,146.5,6.3
2020-10-01,0.43,0.43,0.43,4.25,4.25,99.5,121.8,49500.0,146.5,6.3
2020-11-01,0.71,0.71,0.71,4.25,4.25,99.5,121.8,49300.0,146.4,6.1
2020-12-01,0.83,0.83,0.83,4.25,4.25,99.5,121.8,69300.0,146.4,5.9
2021-01-01,0.67,0.67,0.67,4.25,4.25,96.8,73.7,49500.0,146.2,5.8
2021-02-01,0.78,0.78,0.78,4.25,4.25,96.8,73.7,51200.0,146.1,5.7
2021-03-01,0.66,0.66,0.66,4.25,4.5,96.8,73.7,55200.0,146.0,5.4
2021-04-01,0.58,0.58,0.58,4.5,5.0,106.9,114.8,56600.0,146.0,5.2
2021-05-01,0.74,0.74,0.74,5.0,5.0,106.9,114.8,56200.0,146.0,4.9
2021-06-01,0.69,0.69,0.69,5.5,5.5,106.9,114.8,58800.0,146.0,4.8
2021-07-01,0.31,0.31,0.31,6.0,6.5,108.6,105.5,55200.0,145.9,4.0
2021-08-01,0.17,0.17,0.17,6.5,6.5,108.6,105.5,52400.0,145.8,4.4
2021-09-01,0.6,0.6,0.6,6.75,6.75,108.6,105.5,54700.0,145.8,4.3
2021-10-01,1.11,1.11,1.11,7.0,7.5,100.6,112.8,54600.0,145.8,4.3
