№,ID ЖК,Место Регион / РФ,+/-,Наименование ЖК,Регион,Адрес ЖК,Оценка ЕРЗ,Квартир в продаже,Класс,Этажность,Застройщик,Рейтинг ЕРЗ
1.0,25307645001.0,1/9,0,ЖК Дом А | https://erzrf.ru/novostroyki/zhk-dom-a-25307645001?regionKey=143443001&gkId=25307645001,г.Москва,"г.Москва, округ Южный, р-н Даниловский, ул.Дубининская",79.55,105.0,бизнес,дома повышенной этажности,Брусника | https://erzrf.ru/zastroyschiki/brand/733498001?regionKey=0&organizationId=733498001,5.0
2.0,24957398001.0,2/25,0,ЖК Квартал Издание | https://erzrf.ru/novostroyki/zhk-kvartal-izdanie-24957398001?regionKey=143443001&gkId=24957398001,г.Москва,"г.Москва, округ Юго-Восточный, р-н Нижегородский, ш.Перовское",71.65,193.0,комфорт,высотные дома,Брусника | https://erzrf.ru/zastroyschiki/brand/733498001?regionKey=0&organizationId=733498001,5.0
3.0,24915484001.0,3/26,0,ЖК Квартал МОНС | https://erzrf.ru/novostroyki/zhk-kvartal-mons-24915484001?regionKey=143443001&gkId=24915484001,г.Москва,"г.Москва, округ Северо-Восточный, р-н Бутырский, пр-д Огородный",71.6,265.0,бизнес,высотные дома,Брусника | https://erzrf.ru/zastroyschiki/brand/733498001?regionKey=0&organizationId=733498001,5.0
4.0,18482363001.0,4/28,0,ЖК Дом Лаврушинский | https://erzrf.ru/novostroyki/zhk-dom-lavrushinskij-18482363001?regionKey=143443001&gkId=18482363001,г.Москва,"г.Москва, округ Центральный, р-н Якиманка, пер.Большой Толмачевский",71.0,106.0,элитный,многоэтажные дома,Sminex | https://erzrf.ru/zastroyschiki/brand/4354668001?regionKey=0&organizationId=4354668001,2.5
5.0,18116279001.0,5/32,0,ЖК Shagal | https://erzrf.ru/novostroyki/zhk-shagal-18116279001?regionKey=143443001&gkId=18116279001,г.Москва,"г.Москва, округ Южный, р-н Даниловский, ул.Автозаводская",68.95,220.0,бизнес,высотные дома,Группа Эталон | https://erzrf.ru/zastroyschiki/brand/1331499001?regionKey=0&organizationId=1331499001,5.0
6.0,24126564001.0,6/37,0,ЖК Квартал Метроном | https://erzrf.ru/novostroyki/zhk-kvartal-metronom-24126564001?regionKey=143443001&gkId=24126564001,г.Москва,"г.Москва, округ Восточный, р-н Метрогородок, ул.Тагильская",67.35,454.0,комфорт,высотные дома,Брусника | https://erzrf.ru/zastroyschiki/brand/733498001?regionKey=0&organizationId=733498001,5.0
7.0,23359222001.0,7/44,0,ЖК Обыденский №1 | https://erzrf.ru/novostroyki/zhk-obydenskij-№1-23359222001?regionKey=143443001&gkId=23359222001,г.Москва,"г.Москва, округ Центральный, р-н Хамовники, пер.3-й Обыденский",66.2,3.0,элитный,многоэтажные дома,Sminex | https://erzrf.ru/zastroyschiki/brand/4354668001?regionKey=0&organizationId=4354668001,2.5
8.0,3532411001.0,8/45,0,ЖК Символ | https://erzrf.ru/novostroyki/zhk-simvol-3532411001?regionKey=143443001&gkId=3532411001,г.Москва,"г.Москва, округ Юго-Восточный, р-н Лефортово, ул.Золоторожский Вал",66.15,356.0,бизнес,высотные дома,ДОНСТРОЙ | https://erzrf.ru/zastroyschiki/brand/430278001?regionKey=0&organizationId=430278001,5.0
9.0,11650950001.0,9/49,0,ЖК Река | https://erzrf.ru/novostroyki/zhk-reka-11650950001?regionKey=143443001&gkId=11650950001,г.Москва,"г.Москва, округ Западный, р-н Раменки, ул.Лобачевского",64.9,31.0,элитный,многоэтажные дома,ДОНСТРОЙ | https://erzrf.ru/zastroyschiki/brand/430278001?regionKey=0&organizationId=430278001,5.0
10.0,17628493001.0,10/50,0,ЖК Дом Достижение | https://erzrf.ru/novostroyki/zhk-dom-dostizhenie-17628493001?regionKey=143443001&gkId=17628493001,г.Москва,"г.Москва, округ Северо-Восточный, р-н Марфино, ул.Академика Королёва",64.8,92.0,элитный,высотные дома,Sminex | https://erzrf.ru/zastroyschiki/brand/4354668001?regionKey=0&organizationId=4354668001,2.5
11.0,9345976001.0,11/56,0,ЖК Событие | https://erzrf.ru/novostroyki/zhk-sobytie-9345976001?regionKey=143443001&gkId=9345976001,г.Москва,"г.Москва, округ Западный, р-н Раменки, ул.Лобачевского",63.2,246.0,бизнес,высотные дома,ДОНСТРОЙ | https://erzrf.ru/zastroyschiki/brand/430278001?regionKey=0&organizationId=430278001,5.0
12.0,17583692001.0,12/60,0,ЖК Остров | https://erzrf.ru/novostroyki/zhk-ostrov-17583692001?regionKey=143443001&gkId=17583692001,г.Москва,"г.Москва, округ Северо-Западный, р-н Хорошёво-Мнёвники, ул.Нижние Мнёвники",62.15,413.0,бизнес,дома повышенной этажности,ДОНСТРОЙ | https://erzrf.ru/zastroyschiki/brand/430278001?regionKey=0&organizationId=430278001,5.0
13.0,2965118001.0,13/66,0,ЖК ЗИЛАРТ | https://erzrf.ru/novostroyki/zhk-zilart-2965118001?regionKey=143443001&gkId=2965118001,г.Москва,"г.Москва, округ Южный, р-н Даниловский, ул.Автозаводская",61.45,880.0,бизнес,многоэтажные дома,Группа ЛСР | https://erzrf.ru/zastroyschiki/brand/429468001?regionKey=0&organizationId=429468001,5.0
14.0,22807651001.0,14/76,0,ЖК SOUL | https://erzrf.ru/novostroyki/zhk-soul-22807651001?regionKey=143443001&gkId=22807651001,г.Москва,"г.Москва, округ Северный, р-н Аэропорт, ул.Часовая",59.35,170.0,бизнес,высотные дома,ПИК | https://erzrf.ru/zastroyschiki/brand/429726001?regionKey=0&organizationId=429726001,4.0
15.0,24936416001.0,15/79,0,ЖК Фрунзенская набережная | https://erzrf.ru/novostroyki/zhk-frunzenskaja-naberezhnaja-24936416001?regionKey=143443001&gkId=24936416001,г.Москва,"г.Москва, округ Центральный, р-н Хамовники, наб.Фрунзенская",59.05,172.0,элитный,многоэтажные дома,Sminex | https://erzrf.ru/zastroyschiki/brand/4354668001?regionKey=0&organizationId=4354668001,2.5
16.0,9005070001.0,16/85,0,ЖК LIFE-Варшавская | https://erzrf.ru/novostroyki/zhk-life-varshavskaja-9005070001?regionKey=143443001&gkId=9005070001,г.Москва,"г.Москва, округ Южный, р-н Москворечье-Сабурово, пр-д Каширский",58.35,80.0,бизнес,многоэтажные дома,ГК Пионер | https://erzrf.ru/zastroyschiki/brand/430031001?regionKey=0&organizationId=430031001,5.0
17.0,16941099001.0,17/86,0,ЖК Sydney City | https://erzrf.ru/novostroyki/zhk-sydney-city-16941099001?regionKey=143443001&gkId=16941099001,г.Москва,"г.Москва, округ Северо-Западный, р-н Хорошёво-Мнёвники, ул.Шеногина",58.25,369.0,элитный,высотные дома,ГК ФСК | https://erzrf.ru/zastroyschiki/brand/755344001?regionKey=0&organizationId=755344001,4.0
